# State-wise personal loans by scheduled commercial banks (INR crore outstanding).
# Source: RBI Handbook of Statistics on Indian States 2024-25, Table 159.
# Values are as at end-March. Read geography_note before longitudinal comparison.
state_code,year,personal_loans_outstanding_crore,as_of,source,quality,geography_note
AP,2017,72096,2017-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official,
AP,2018,87760,2018-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official,
AP,2019,105859,2019-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official,
AP,2020,124296,2020-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official,
AP,2021,146843,2021-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official,
AP,2022,173182,2022-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official,
AP,2023,210339,2023-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official,
AP,2024,252088,2024-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official,
AP,2025,290337,2025-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official,
AR,2004,94,2004-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official,
AR,2005,145,2005-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official,
AR,2006,200,2006-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official,
AR,2007,253,2007-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official,
AR,2008,391,2008-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official,
AR,2009,456,2009-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official,
AR,2010,623,2010-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official,
AR,2011,713,2011-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official,
AR,2012,819,2012-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official,
AR,2013,880,2013-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official,
AR,2014,991,2014-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official,
AR,2015,1187,2015-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official,
AR,2016,1428,2016-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official,
AR,2017,1661,2017-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official,
AR,2018,2334,2018-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official,
AR,2019,2473,2019-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official,
AR,2020,2900,2020-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official,
AR,2021,3678,2021-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official,
AR,2022,4366,2022-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official,
AR,2023,5286,2023-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official,
AR,2024,6364,2024-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official,
AR,2025,7222,2025-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official,
AS,2004,1798,2004-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official,
AS,2005,2809,2005-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official,
