# State-wise personal loans by scheduled commercial banks (INR crore outstanding).
# Source: RBI Handbook of Statistics on Indian States 2024-25, Table 159.
# Values are as at end-March. Read geography_note before longitudinal comparison.
state_code,year,personal_loans_outstanding_crore,as_of,source,quality,geography_note
GA,2024,17272,2024-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official,
GA,2025,19467,2025-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official,
GJ,2004,6839,2004-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official,
GJ,2005,9924,2005-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official,
GJ,2006,14361,2006-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official,
GJ,2007,19934,2007-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official,
GJ,2008,24931,2008-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official,
GJ,2009,22665,2009-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official,
GJ,2010,24388,2010-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official,
GJ,2011,29533,2011-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official,
GJ,2012,33939,2012-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official,
GJ,2013,43287,2013-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official,
GJ,2014,52763,2014-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official,
GJ,2015,62512,2015-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official,
GJ,2016,79709,2016-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official,
GJ,2017,94398,2017-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official,
GJ,2018,119863,2018-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official,
GJ,2019,141871,2019-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official,
GJ,2020,170900,2020-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official,
GJ,2021,195114,2021-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official,
GJ,2022,244204,2022-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official,
GJ,2023,275083,2023-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official,
GJ,2024,362397,2024-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official,
GJ,2025,398553,2025-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official,
HP,2004,999,2004-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official,
HP,2005,1346,2005-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official,
HP,2006,1939,2006-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official,
HP,2007,2417,2007-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official,
HP,2008,2210,2008-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official,
HP,2009,2916,2009-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official,
HP,2010,3295,2010-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official,
HP,2011,3885,2011-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official,
HP,2012,4146,2012-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official,
HP,2013,4382,2013-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official,
HP,2014,5659,2014-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official,
HP,2015,5961,2015-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official,
HP,2016,6445,2016-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official,
HP,2017,7889,2017-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official,
HP,2018,9502,2018-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official,
HP,2019,11112,2019-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official,
HP,2020,12446,2020-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official,
HP,2021,14569,2021-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official,
HP,2022,17174,2022-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official,
HP,2023,20603,2023-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official,
HP,2024,24089,2024-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official,
HP,2025,27637,2025-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official,
HR,2004,3590,2004-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official,
HR,2005,5332,2005-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official,
HR,2006,9972,2006-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official,
HR,2007,9963,2007-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official,
HR,2008,10122,2008-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official,
HR,2009,12346,2009-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official,
HR,2010,14420,2010-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official,
HR,2011,20628,2011-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official,
HR,2012,19507,2012-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official,
HR,2013,23132,2013-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official,
HR,2014,31847,2014-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official,
HR,2015,37572,2015-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official,
HR,2016,42038,2016-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official,
HR,2017,49651,2017-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official,
HR,2018,61872,2018-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official,
HR,2019,70184,2019-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official,
HR,2020,83109,2020-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official,
HR,2021,94627,2021-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official,
HR,2022,111133,2022-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official,
HR,2023,136227,2023-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official,
HR,2024,192008,2024-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official,
HR,2025,219486,2025-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official,
JH,2004,1957,2004-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official,
JH,2005,2407,2005-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official,
JH,2006,3321,2006-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official,
JH,2007,3931,2007-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official,
JH,2008,4251,2008-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official,
JH,2009,5973,2009-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official,
JH,2010,6838,2010-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official,
JH,2011,8181,2011-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official,
JH,2012,8939,2012-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official,
JH,2013,10185,2013-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official,
JH,2014,11379,2014-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official,
JH,2015,13086,2015-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official,
JH,2016,15907,2016-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official,
JH,2017,17929,2017-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official,
JH,2018,20392,2018-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official,
JH,2019,23594,2019-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official,
JH,2020,27517,2020-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official,
JH,2021,32569,2021-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official,
JH,2022,38935,2022-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official,
JH,2023,46632,2023-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official,
JH,2024,54802,2024-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official,
JH,2025,60616,2025-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official,
JK,2004,1271,2004-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official,Source Jammu & Kashmir includes the territory later separated as Ladakh.
JK,2005,1613,2005-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official,Source Jammu & Kashmir includes the territory later separated as Ladakh.
JK,2006,2140,2006-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official,Source Jammu & Kashmir includes the territory later separated as Ladakh.
JK,2007,2806,2007-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official,Source Jammu & Kashmir includes the territory later separated as Ladakh.
JK,2008,3592,2008-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official,Source Jammu & Kashmir includes the territory later separated as Ladakh.
JK,2009,3768,2009-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official,Source Jammu & Kashmir includes the territory later separated as Ladakh.
JK,2010,4193,2010-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official,Source Jammu & Kashmir includes the territory later separated as Ladakh.
JK,2011,4750,2011-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official,Source Jammu & Kashmir includes the territory later separated as Ladakh.
JK,2012,5656,2012-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official,Source Jammu & Kashmir includes the territory later separated as Ladakh.
JK,2013,7185,2013-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official,Source Jammu & Kashmir includes the territory later separated as Ladakh.
JK,2014,8673,2014-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official,Source Jammu & Kashmir includes the territory later separated as Ladakh.
JK,2015,10568,2015-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official,Source Jammu & Kashmir includes the territory later separated as Ladakh.
JK,2016,13387,2016-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official,Source Jammu & Kashmir includes the territory later separated as Ladakh.
JK,2017,14752,2017-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official,Source Jammu & Kashmir includes the territory later separated as Ladakh.
JK,2018,19046,2018-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official,Source Jammu & Kashmir includes the territory later separated as Ladakh.
JK,2019,24751,2019-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official,Source Jammu & Kashmir includes the territory later separated as Ladakh.
JK,2020,28313,2020-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official,
JK,2021,34569,2021-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official,
JK,2022,40853,2022-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official,
JK,2023,48452,2023-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official,
JK,2024,56436,2024-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official,
JK,2025,60217,2025-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official,
KA,2004,17526,2004-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official,
KA,2005,25886,2005-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official,
KA,2006,37374,2006-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official,
KA,2007,45696,2007-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official,
KA,2008,51108,2008-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official,
KA,2009,54677,2009-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official,
KA,2010,55050,2010-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official,
KA,2011,61272,2011-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official,
KA,2012,71778,2012-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official,
KA,2013,86422,2013-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official,
KA,2014,99344,2014-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official,
KA,2015,120910,2015-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official,
KA,2016,142670,2016-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official,
KA,2017,166395,2017-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official,
KA,2018,194521,2018-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official,
KA,2019,215308,2019-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official,
KA,2020,248512,2020-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official,
KA,2021,273734,2021-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official,
KA,2022,308639,2022-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official,
KA,2023,364206,2023-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official,
KA,2024,478712,2024-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official,
KA,2025,533675,2025-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official,
KL,2004,11004,2004-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official,
KL,2005,14932,2005-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official,
KL,2006,19356,2006-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official,
KL,2007,23738,2007-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official,
KL,2008,28150,2008-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official,
KL,2009,34481,2009-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official,
KL,2010,39269,2010-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official,
KL,2011,44679,2011-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official,
KL,2012,50287,2012-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official,
KL,2013,61379,2013-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official,
KL,2014,66256,2014-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official,
KL,2015,67691,2015-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official,
KL,2016,77643,2016-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official,
KL,2017,91075,2017-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official,
KL,2018,102570,2018-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official,
KL,2019,117539,2019-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official,
KL,2020,132779,2020-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official,
KL,2021,148016,2021-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official,
KL,2022,160399,2022-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official,
KL,2023,184201,2023-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official,
KL,2024,224306,2024-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official,
KL,2025,247348,2025-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official,
LA,2020,1054,2020-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official,
LA,2021,1342,2021-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official,
LA,2022,1813,2022-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official,
LA,2023,2323,2023-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official,
LA,2024,2726,2024-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official,
LA,2025,2965,2025-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official,
LD,2004,6,2004-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official,
LD,2005,9,2005-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official,
LD,2006,14,2006-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official,
LD,2007,17,2007-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official,
LD,2008,19,2008-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official,
LD,2009,22,2009-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official,
LD,2010,23,2010-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official,
LD,2011,30,2011-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official,
LD,2012,32,2012-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official,
LD,2013,41,2013-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official,
LD,2014,35,2014-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official,
LD,2015,40,2015-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official,
LD,2016,43,2016-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official,
LD,2017,46,2017-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official,
LD,2018,41,2018-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official,
LD,2019,53,2019-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official,
LD,2020,60,2020-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official,
LD,2021,62,2021-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official,
LD,2022,77,2022-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official,
LD,2023,93,2023-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official,
LD,2024,107,2024-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official,
LD,2025,122,2025-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official,
MH,2004,29291,2004-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official,
MH,2005,45697,2005-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official,
MH,2006,64749,2006-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official,
MH,2007,84211,2007-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official,
MH,2008,83406,2008-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official,
MH,2009,110733,2009-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official,
MH,2010,96304,2010-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official,
MH,2011,121315,2011-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official,
MH,2012,135827,2012-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official,
MH,2013,148620,2013-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official,
MH,2014,181292,2014-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official,
MH,2015,201332,2015-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official,
MH,2016,241614,2016-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official,
MH,2017,295236,2017-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official,
MH,2018,338207,2018-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official,
MH,2019,385523,2019-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official,
MH,2020,470361,2020-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official,
MH,2021,525366,2021-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official,
MH,2022,614166,2022-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official,
MH,2023,755848,2023-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official,
MH,2024,1018853,2024-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official,
MH,2025,1160992,2025-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official,
ML,2004,287,2004-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official,
ML,2005,742,2005-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official,
ML,2006,1251,2006-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official,
ML,2007,596,2007-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official,
ML,2008,707,2008-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official,
ML,2009,814,2009-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official,
ML,2010,946,2010-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official,
ML,2011,1050,2011-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official,
ML,2012,1087,2012-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official,
ML,2013,1170,2013-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official,
ML,2014,1333,2014-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official,
ML,2015,1830,2015-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official,
ML,2016,1982,2016-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official,
ML,2017,2474,2017-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official,
ML,2018,3098,2018-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official,
ML,2019,3552,2019-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official,
ML,2020,4318,2020-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official,
ML,2021,5056,2021-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official,
ML,2022,5760,2022-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official,
ML,2023,6693,2023-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official,
ML,2024,7975,2024-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official,
ML,2025,8728,2025-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official,
MN,2004,128,2004-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official,
MN,2005,208,2005-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official,
MN,2006,332,2006-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official,
MN,2007,417,2007-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official,
MN,2008,522,2008-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official,
MN,2009,585,2009-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official,
MN,2010,757,2010-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official,
MN,2011,734,2011-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official,
MN,2012,695,2012-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official,
MN,2013,806,2013-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official,
MN,2014,927,2014-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official,
MN,2015,1120,2015-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official,
MN,2016,1504,2016-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official,
MN,2017,1884,2017-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official,
MN,2018,2669,2018-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official,
MN,2019,3306,2019-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official,
MN,2020,4292,2020-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official,
MN,2021,5262,2021-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official,
MN,2022,6369,2022-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official,
MN,2023,8322,2023-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official,
MN,2024,9102,2024-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official,
MN,2025,10117,2025-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official,
MP,2004,5671,2004-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official,
MP,2005,7621,2005-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official,
MP,2006,10252,2006-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official,
MP,2007,11183,2007-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official,
MP,2008,12545,2008-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official,
MP,2009,14447,2009-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official,
MP,2010,16349,2010-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official,
MP,2011,17397,2011-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official,
MP,2012,20461,2012-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official,
MP,2013,21763,2013-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official,
MP,2014,28836,2014-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official,
MP,2015,34351,2015-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official,
MP,2016,41496,2016-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official,
MP,2017,48085,2017-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official,
MP,2018,57461,2018-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official,
MP,2019,65350,2019-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official,
MP,2020,79731,2020-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official,
MP,2021,90865,2021-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official,
MP,2022,104890,2022-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official,
MP,2023,123841,2023-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official,
MP,2024,156307,2024-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official,
MP,2025,178029,2025-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official,
MZ,2004,153,2004-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official,
MZ,2005,229,2005-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official,
MZ,2006,318,2006-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official,
MZ,2007,434,2007-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official,
MZ,2008,536,2008-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official,
MZ,2009,672,2009-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official,
MZ,2010,783,2010-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official,
MZ,2011,767,2011-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official,
