# State GSDP at constant 2011-12 prices (INR lakh) and derived real growth.
# Source: RBI Handbook of Statistics on Indian States 2024-25, Table 22.
# FY = April-March. Growth is arithmetic percent change from the prior available FY.
state_code,fy,gsdp_constant_2011_12_lakh,source,level_quality,growth_quality,quality,geography_note,gsdp_real_growth_pct
AR,2016-17,1489265,"RBI Handbook of Statistics on Indian States 2024-25, Table 22; underlying NSO/MOSPI",official,derived,official_derived,,4.58
AR,2017-18,1557219,"RBI Handbook of Statistics on Indian States 2024-25, Table 22; underlying NSO/MOSPI",official,derived,official_derived,,4.563
AR,2018-19,1666838,"RBI Handbook of Statistics on Indian States 2024-25, Table 22; underlying NSO/MOSPI",official,derived,official_derived,,7.039
AR,2019-20,1914031,"RBI Handbook of Statistics on Indian States 2024-25, Table 22; underlying NSO/MOSPI",official,derived,official_derived,,14.83
AR,2020-21,1843452,"RBI Handbook of Statistics on Indian States 2024-25, Table 22; underlying NSO/MOSPI",official,derived,official_derived,,-3.687
AR,2021-22,1864920,"RBI Handbook of Statistics on Indian States 2024-25, Table 22; underlying NSO/MOSPI",official,derived,official_derived,,1.165
AR,2022-23,1930051,"RBI Handbook of Statistics on Indian States 2024-25, Table 22; underlying NSO/MOSPI",official,derived,official_derived,,3.492
AR,2023-24,2044856,"RBI Handbook of Statistics on Indian States 2024-25, Table 22; underlying NSO/MOSPI",official,derived,official_derived,,5.948
AR,2024-25,2242331,"RBI Handbook of Statistics on Indian States 2024-25, Table 22; underlying NSO/MOSPI",official,derived,official_derived,,9.657
AS,2011-12,14317491,"RBI Handbook of Statistics on Indian States 2024-25, Table 22; underlying NSO/MOSPI",official,derived,official_derived,,
AS,2012-13,14734238,"RBI Handbook of Statistics on Indian States 2024-25, Table 22; underlying NSO/MOSPI",official,derived,official_derived,,2.911
AS,2013-14,15452540,"RBI Handbook of Statistics on Indian States 2024-25, Table 22; underlying NSO/MOSPI",official,derived,official_derived,,4.875
AS,2014-15,16521231,"RBI Handbook of Statistics on Indian States 2024-25, Table 22; underlying NSO/MOSPI",official,derived,official_derived,,6.916
