# State-wise length of roads (km).
# Source: RBI Handbook of Statistics on Indian States 2024-25, Table 146.
# Values are as at end-March. Read geography_note before longitudinal comparison.
state_code,year,road_length_km,as_of,source,quality,geography_note
JK,2020,118791,2020-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 146",official,
KA,2005,210415,2005-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 146",official,
KA,2006,214211,2006-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 146",official,
KA,2007,253901,2007-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 146",official,
KA,2008,255454,2008-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 146",official,
KA,2009,274896,2009-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 146",official,
KA,2010,280147,2010-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 146",official,
KA,2011,281773,2011-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 146",official,
KA,2012,303128,2012-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 146",official,
KA,2013,305448,2013-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 146",official,
KA,2014,313184,2014-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 146",official,
KA,2015,321808,2015-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 146",official,
KA,2016,345515,2016-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 146",official,
KA,2017,361041,2017-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 146",official,
KA,2018,354505,2018-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 146",official,
KA,2019,358300,2019-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 146",official,
KA,2020,369687,2020-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 146",official,
KL,2005,169516,2005-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 146",official,
KL,2006,187147,2006-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 146",official,
KL,2007,197454,2007-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 146",official,
KL,2008,204757,2008-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 146",official,
KL,2009,200625,2009-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 146",official,
KL,2010,200928,2010-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 146",official,
KL,2011,201220,2011-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 146",official,
KL,2012,215438,2012-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 146",official,
KL,2013,185030,2013-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 146",official,
KL,2014,193460,2014-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 146",official,
KL,2015,194854,2015-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 146",official,
KL,2016,200808,2016-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 146",official,
KL,2017,240562,2017-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 146",official,
KL,2018,257085,2018-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 146",official,
KL,2019,259932,2019-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 146",official,
KL,2020,258375,2020-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 146",official,
LD,2005,162,2005-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 146",official,
LD,2006,166,2006-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 146",official,
LD,2007,168,2007-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 146",official,
LD,2008,172,2008-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 146",official,
LD,2009,176,2009-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 146",official,
LD,2010,182,2010-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 146",official,
LD,2011,190,2011-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 146",official,
LD,2012,202,2012-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 146",official,
LD,2013,207,2013-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 146",official,
LD,2014,208,2014-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 146",official,
LD,2015,214,2015-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 146",official,
LD,2016,209,2016-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 146",official,
LD,2017,212,2017-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 146",official,
LD,2018,224,2018-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 146",official,
LD,2019,232,2019-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 146",official,
LD,2020,223,2020-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 146",official,
MH,2005,220937,2005-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 146",official,
MH,2006,220447,2006-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 146",official,
MH,2007,223142,2007-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 146",official,
MH,2008,223322,2008-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 146",official,
MH,2009,399416,2009-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 146",official,
MH,2010,406660,2010-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 146",official,
MH,2011,410521,2011-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 146",official,
MH,2012,396685,2012-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 146",official,
MH,2013,589625,2013-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 146",official,
MH,2014,608690,2014-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 146",official,
MH,2015,608140,2015-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 146",official,
MH,2016,613418,2016-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 146",official,
MH,2017,623972,2017-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 146",official,
MH,2018,626521,2018-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 146",official,
MH,2019,636887,2019-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 146",official,
MH,2020,609872,2020-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 146",official,
ML,2005,9662,2005-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 146",official,
ML,2006,9691,2006-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 146",official,
ML,2007,9752,2007-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 146",official,
ML,2008,9839,2008-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 146",official,
ML,2009,11019,2009-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 146",official,
ML,2010,11702,2010-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 146",official,
ML,2011,11984,2011-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 146",official,
ML,2012,12103,2012-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 146",official,
ML,2013,12317,2013-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 146",official,
ML,2014,13260,2014-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 146",official,
ML,2015,13372,2015-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 146",official,
ML,2016,21727,2016-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 146",official,
ML,2017,22939,2017-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 146",official,
ML,2018,43836,2018-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 146",official,
ML,2019,40258,2019-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 146",official,
ML,2020,44241,2020-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 146",official,
MN,2005,16502,2005-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 146",official,
MN,2006,16502,2006-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 146",official,
MN,2007,16502,2007-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 146",official,
MN,2008,16502,2008-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 146",official,
MN,2009,17724,2009-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 146",official,
MN,2010,18604,2010-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 146",official,
MN,2011,19133,2011-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 146",official,
MN,2012,19252,2012-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 146",official,
MN,2013,20837,2013-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 146",official,
MN,2014,21661,2014-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 146",official,
MN,2015,24247,2015-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 146",official,
MN,2016,24776,2016-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 146",official,
MN,2017,27612,2017-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 146",official,
MN,2018,29180,2018-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 146",official,
MN,2019,32389,2019-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 146",official,
MN,2020,32694,2020-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 146",official,
MP,2005,163920,2005-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 146",official,
MP,2006,164801,2006-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 146",official,
MP,2007,165407,2007-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 146",official,
MP,2008,165740,2008-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 146",official,
MP,2009,185898,2009-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 146",official,
MP,2010,189915,2010-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 146",official,
MP,2011,197293,2011-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 146",official,
MP,2012,201261,2012-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 146",official,
MP,2013,228816,2013-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 146",official,
MP,2014,279996,2014-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 146",official,
MP,2015,288931,2015-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 146",official,
MP,2016,289940,2016-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 146",official,
MP,2017,342654,2017-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 146",official,
MP,2018,363972,2018-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 146",official,
MP,2019,365045,2019-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 146",official,
MP,2020,369271,2020-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 146",official,
MZ,2005,5426,2005-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 146",official,
MZ,2006,5974,2006-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 146",official,
MZ,2007,6144,2007-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 146",official,
MZ,2008,6158,2008-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 146",official,
MZ,2009,7742,2009-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 146",official,
MZ,2010,8727,2010-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 146",official,
MZ,2011,9810,2011-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 146",official,
MZ,2012,11293,2012-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 146",official,
MZ,2013,10939,2013-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 146",official,
MZ,2014,9803,2014-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 146",official,
MZ,2015,9831,2015-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 146",official,
MZ,2016,8108,2016-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 146",official,
MZ,2017,11012,2017-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 146",official,
MZ,2018,13374,2018-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 146",official,
MZ,2019,16250,2019-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 146",official,
MZ,2020,19418,2020-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 146",official,
NL,2005,26241,2005-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 146",official,
NL,2006,22085,2006-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 146",official,
NL,2007,21947,2007-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 146",official,
NL,2008,22304,2008-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 146",official,
NL,2009,32597,2009-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 146",official,
NL,2010,33423,2010-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 146",official,
NL,2011,34146,2011-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 146",official,
NL,2012,35189,2012-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 146",official,
NL,2013,38281,2013-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 146",official,
NL,2014,36600,2014-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 146",official,
NL,2015,37176,2015-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 146",official,
NL,2016,36114,2016-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 146",official,
NL,2017,36239,2017-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 146",official,
NL,2018,36703,2018-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 146",official,
NL,2019,37871,2019-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 146",official,
NL,2020,37844,2020-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 146",official,
OD,2005,215141,2005-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 146",official,
OD,2006,215214,2006-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 146",official,
OD,2007,215300,2007-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 146",official,
OD,2008,215404,2008-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 146",official,
OD,2009,229132,2009-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 146",official,
OD,2010,233524,2010-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 146",official,
OD,2011,258836,2011-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 146",official,
OD,2012,254709,2012-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 146",official,
OD,2013,277659,2013-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 146",official,
OD,2014,283165,2014-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 146",official,
OD,2015,283692,2015-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 146",official,
OD,2016,288083,2016-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 146",official,
OD,2017,303669,2017-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 146",official,
OD,2018,307976,2018-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 146",official,
OD,2019,305631,2019-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 146",official,
OD,2020,303923,2020-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 146",official,
PB,2005,46490,2005-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 146",official,
PB,2006,45165,2006-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 146",official,
PB,2007,45135,2007-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 146",official,
PB,2008,45178,2008-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 146",official,
PB,2009,77912,2009-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 146",official,
PB,2010,81899,2010-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 146",official,
PB,2011,84193,2011-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 146",official,
PB,2012,93871,2012-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 146",official,
PB,2013,98442,2013-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 146",official,
PB,2014,104160,2014-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 146",official,
PB,2015,105368,2015-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 146",official,
PB,2016,108379,2016-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 146",official,
PB,2017,139492,2017-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 146",official,
PB,2018,142635,2018-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 146",official,
PB,2019,147862,2019-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 146",official,
PB,2020,148768,2020-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 146",official,
PY,2005,2613,2005-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 146",official,
PY,2006,2624,2006-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 146",official,
PY,2007,2696,2007-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 146",official,
PY,2008,2696,2008-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 146",official,
PY,2009,2712,2009-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 146",official,
PY,2010,2727,2010-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 146",official,
PY,2011,2740,2011-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 146",official,
PY,2012,2585,2012-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 146",official,
PY,2013,2890,2013-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 146",official,
PY,2014,3020,2014-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 146",official,
PY,2015,3072,2015-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 146",official,
PY,2016,3174,2016-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 146",official,
PY,2017,3242,2017-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 146",official,
PY,2018,4293,2018-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 146",official,
PY,2019,4294,2019-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 146",official,
PY,2020,5572,2020-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 146",official,
RJ,2005,149753,2005-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 146",official,
RJ,2006,152435,2006-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 146",official,
RJ,2007,159902,2007-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 146",official,
RJ,2008,171479,2008-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 146",official,
RJ,2009,217543,2009-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 146",official,
RJ,2010,223300,2010-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 146",official,
RJ,2011,241318,2011-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 146",official,
RJ,2012,248604,2012-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 146",official,
RJ,2013,226124,2013-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 146",official,
RJ,2014,241243,2014-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 146",official,
RJ,2015,248156,2015-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 146",official,
RJ,2016,254279,2016-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 146",official,
RJ,2017,265599,2017-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 146",official,
RJ,2018,313390,2018-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 146",official,
RJ,2019,313469,2019-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 146",official,
RJ,2020,265588,2020-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 146",official,
SK,2005,2076,2005-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 146",official,
SK,2006,2118,2006-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 146",official,
SK,2007,1873,2007-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 146",official,
SK,2008,1873,2008-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 146",official,
SK,2009,4199,2009-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 146",official,
SK,2010,4420,2010-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 146",official,
SK,2011,4630,2011-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 146",official,
SK,2012,5616,2012-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 146",official,
SK,2013,6570,2013-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 146",official,
SK,2014,6525,2014-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 146",official,
SK,2015,7450,2015-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 146",official,
SK,2016,8243,2016-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 146",official,
SK,2017,11386,2017-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 146",official,
SK,2018,13510,2018-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 146",official,
SK,2019,12182,2019-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 146",official,
SK,2020,12296,2020-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 146",official,
TN,2005,176209,2005-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 146",official,
TN,2006,179348,2006-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 146",official,
TN,2007,180823,2007-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 146",official,
TN,2008,181213,2008-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 146",official,
TN,2009,188037,2009-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 146",official,
TN,2010,190055,2010-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 146",official,
TN,2011,192339,2011-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 146",official,
TN,2012,230200,2012-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 146",official,
TN,2013,238004,2013-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 146",official,
TN,2014,254205,2014-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 146",official,
TN,2015,261100,2015-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 146",official,
TN,2016,261035,2016-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 146",official,
TN,2017,261436,2017-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 146",official,
TN,2018,270007,2018-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 146",official,
TN,2019,271137,2019-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 146",official,
TN,2020,272974,2020-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 146",official,
TR,2005,31716,2005-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 146",official,
TR,2006,31731,2006-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 146",official,
TR,2007,31731,2007-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 146",official,
TR,2008,31733,2008-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 146",official,
TR,2009,32767,2009-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 146",official,
TR,2010,33338,2010-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 146",official,
TR,2011,33772,2011-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 146",official,
TR,2012,29248,2012-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 146",official,
TR,2013,31021,2013-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 146",official,
TR,2014,41857,2014-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 146",official,
TR,2015,37384,2015-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 146",official,
TR,2016,39365,2016-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 146",official,
TR,2017,42925,2017-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 146",official,
TR,2018,43215,2018-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 146",official,
TR,2019,45120,2019-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 146",official,
TR,2020,35340,2020-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 146",official,
TS,2014,92215,2014-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 146",official,
TS,2015,100251,2015-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 146",official,
TS,2016,123572,2016-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 146",official,
TS,2017,126135,2017-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 146",official,
TS,2018,128071,2018-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 146",official,
TS,2019,140555,2019-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 146",official,
TS,2020,141400,2020-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 146",official,
UK,2005,35659,2005-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 146",official,
UK,2006,36061,2006-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 146",official,
UK,2007,39167,2007-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 146",official,
UK,2008,41041,2008-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 146",official,
UK,2009,44332,2009-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 146",official,
UK,2010,46836,2010-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 146",official,
UK,2011,49277,2011-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 146",official,
UK,2012,52628,2012-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 146",official,
UK,2013,58714,2013-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 146",official,
UK,2014,60427,2014-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 146",official,
UK,2015,62945,2015-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 146",official,
UK,2016,61018,2016-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 146",official,
UK,2017,69777,2017-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 146",official,
UK,2018,52848,2018-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 146",official,
UK,2019,68727,2019-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 146",official,
UK,2020,63679,2020-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 146",official,
UP,2005,256683,2005-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 146",official,
UP,2006,263555,2006-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 146",official,
UP,2007,272362,2007-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 146",official,
UP,2008,284673,2008-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 146",official,
UP,2009,329185,2009-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 146",official,
UP,2010,376278,2010-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 146",official,
UP,2011,390256,2011-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 146",official,
UP,2012,403102,2012-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 146",official,
UP,2013,435969,2013-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 146",official,
