# State-wise length of roads (km).
# Source: RBI Handbook of Statistics on Indian States 2024-25, Table 146.
# Values are as at end-March. Read geography_note before longitudinal comparison.
state_code,year,road_length_km,as_of,source,quality,geography_note
AR,2015,25362,2015-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 146",official,
AR,2016,30692,2016-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 146",official,
AR,2017,37025,2017-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 146",official,
AR,2018,50555,2018-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 146",official,
AR,2019,55262,2019-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 146",official,
AR,2020,52916,2020-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 146",official,
AS,2005,208788,2005-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 146",official,
AS,2006,215819,2006-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 146",official,
AS,2007,223450,2007-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 146",official,
AS,2008,230334,2008-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 146",official,
AS,2009,236985,2009-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 146",official,
AS,2010,239394,2010-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 146",official,
AS,2011,241789,2011-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 146",official,
AS,2012,284232,2012-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 146",official,
AS,2013,288135,2013-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 146",official,
AS,2014,313621,2014-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 146",official,
AS,2015,326512,2015-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 146",official,
AS,2016,329520,2016-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 146",official,
AS,2017,337777,2017-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 146",official,
AS,2018,343609,2018-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 146",official,
AS,2019,399122,2019-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 146",official,
AS,2020,450290,2020-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 146",official,
BR,2005,119958,2005-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 146",official,
BR,2006,120127,2006-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 146",official,
BR,2007,120127,2007-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 146",official,
BR,2008,120127,2008-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 146",official,
BR,2009,124363,2009-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 146",official,
BR,2010,128034,2010-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 146",official,
BR,2011,130642,2011-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 146",official,
BR,2012,138517,2012-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 146",official,
BR,2013,197239,2013-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 146",official,
BR,2014,209758,2014-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 146",official,
BR,2015,206010,2015-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 146",official,
BR,2016,206484,2016-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 146",official,
BR,2017,209549,2017-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 146",official,
BR,2018,290571,2018-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 146",official,
BR,2019,298205,2019-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 146",official,
BR,2020,299576,2020-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 146",official,
CG,2005,72322,2005-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 146",official,
CG,2006,73892,2006-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 146",official,
CG,2007,73705,2007-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 146",official,
CG,2008,74434,2008-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 146",official,
CG,2009,87733,2009-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 146",official,
CG,2010,91477,2010-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 146",official,
CG,2011,93965,2011-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 146",official,
CG,2012,75742,2012-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 146",official,
CG,2013,89236,2013-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 146",official,
CG,2014,94580,2014-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 146",official,
CG,2015,97534,2015-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 146",official,
CG,2016,95809,2016-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 146",official,
CG,2017,97845,2017-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 146",official,
CG,2018,102578,2018-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 146",official,
CG,2019,105074,2019-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 146",official,
CG,2020,111624,2020-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 146",official,
CH,2005,2118,2005-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 146",official,
CH,2006,2118,2006-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 146",official,
CH,2007,2118,2007-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 146",official,
CH,2008,2118,2008-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 146",official,
CH,2009,2246,2009-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 146",official,
CH,2010,2264,2010-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 146",official,
CH,2011,2284,2011-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 146",official,
CH,2012,1928,2012-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 146",official,
CH,2013,1993,2013-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 146",official,
CH,2014,2879,2014-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 146",official,
CH,2015,2935,2015-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 146",official,
CH,2016,2821,2016-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 146",official,
CH,2017,2821,2017-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 146",official,
CH,2018,2539,2018-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 146",official,
CH,2019,2573,2019-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 146",official,
CH,2020,2592,2020-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 146",official,
DL,2005,29458,2005-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 146",official,
DL,2006,29462,2006-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 146",official,
DL,2007,29479,2007-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 146",official,
DL,2008,29559,2008-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 146",official,
DL,2009,29589,2009-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 146",official,
DL,2010,29627,2010-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 146",official,
DL,2011,29648,2011-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 146",official,
DL,2012,30711,2012-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 146",official,
DL,2013,31995,2013-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 146",official,
DL,2014,31996,2014-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 146",official,
DL,2015,32067,2015-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 146",official,
DL,2016,17625,2016-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 146",official,
DL,2017,17882,2017-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 146",official,
DL,2018,17596,2018-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 146",official,
DL,2019,16170,2019-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 146",official,
DL,2020,17786,2020-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 146",official,
DN,2005,855,2005-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 146",official_derived,Dadra & Nagar Haveli and Daman & Diu source rows aggregated to the merged UT.
DN,2006,855,2006-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 146",official_derived,Dadra & Nagar Haveli and Daman & Diu source rows aggregated to the merged UT.
DN,2007,855,2007-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 146",official_derived,Dadra & Nagar Haveli and Daman & Diu source rows aggregated to the merged UT.
DN,2008,856,2008-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 146",official_derived,Dadra & Nagar Haveli and Daman & Diu source rows aggregated to the merged UT.
DN,2009,987,2009-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 146",official_derived,Dadra & Nagar Haveli and Daman & Diu source rows aggregated to the merged UT.
