# Per-capita Net State Domestic Product at constant 2011-12 prices (INR).
# Source: RBI Handbook of Statistics on Indian States 2024-25, Table 20
# (published 11-Dec-2025; underlying data from MOSPI/NSO). FY = April-March.
state_code,fy,pc_nsdp_constant_2011_12_inr,source,quality
CG,2015-16,61433,"RBI Handbook of Statistics on Indian States 2024-25, Table 20",official
CG,2016-17,67139,"RBI Handbook of Statistics on Indian States 2024-25, Table 20",official
CG,2017-18,68374,"RBI Handbook of Statistics on Indian States 2024-25, Table 20",official
CG,2018-19,75438,"RBI Handbook of Statistics on Indian States 2024-25, Table 20",official
CG,2019-20,76827,"RBI Handbook of Statistics on Indian States 2024-25, Table 20",official
CG,2020-21,74489,"RBI Handbook of Statistics on Indian States 2024-25, Table 20",official
CG,2021-22,78350,"RBI Handbook of Statistics on Indian States 2024-25, Table 20",official
CG,2022-23,82699,"RBI Handbook of Statistics on Indian States 2024-25, Table 20",official
CG,2023-24,87681,"RBI Handbook of Statistics on Indian States 2024-25, Table 20",official
CG,2024-25,93161,"RBI Handbook of Statistics on Indian States 2024-25, Table 20",official
CH,2011-12,158967,"RBI Handbook of Statistics on Indian States 2024-25, Table 20",official
CH,2012-13,169336,"RBI Handbook of Statistics on Indian States 2024-25, Table 20",official
CH,2013-14,180615,"RBI Handbook of Statistics on Indian States 2024-25, Table 20",official
CH,2014-15,182867,"RBI Handbook of Statistics on Indian States 2024-25, Table 20",official
CH,2015-16,195205,"RBI Handbook of Statistics on Indian States 2024-25, Table 20",official
CH,2016-17,208231,"RBI Handbook of Statistics on Indian States 2024-25, Table 20",official
CH,2017-18,218201,"RBI Handbook of Statistics on Indian States 2024-25, Table 20",official
CH,2018-19,227231,"RBI Handbook of Statistics on Indian States 2024-25, Table 20",official
CH,2019-20,239373,"RBI Handbook of Statistics on Indian States 2024-25, Table 20",official
CH,2020-21,209158,"RBI Handbook of Statistics on Indian States 2024-25, Table 20",official
CH,2021-22,222250,"RBI Handbook of Statistics on Indian States 2024-25, Table 20",official
CH,2022-23,253004,"RBI Handbook of Statistics on Indian States 2024-25, Table 20",official
CH,2023-24,275139,"RBI Handbook of Statistics on Indian States 2024-25, Table 20",official
DL,2011-12,185001,"RBI Handbook of Statistics on Indian States 2024-25, Table 20",official
DL,2012-13,192220,"RBI Handbook of Statistics on Indian States 2024-25, Table 20",official
