# Per-capita Net State Domestic Product at current prices (INR).
# Source: RBI Handbook of Statistics on Indian States 2024-25, Table 19
# (published 11-Dec-2025; underlying data from MOSPI/NSO). FY = April-March.
state_code,fy,pc_nsdp_current_inr,source,quality
CG,2015-16,72991,"RBI Handbook of Statistics on Indian States 2024-25, Table 19",official
CG,2016-17,83285,"RBI Handbook of Statistics on Indian States 2024-25, Table 19",official
CG,2017-18,88793,"RBI Handbook of Statistics on Indian States 2024-25, Table 19",official
CG,2018-19,102024,"RBI Handbook of Statistics on Indian States 2024-25, Table 19",official
CG,2019-20,106611,"RBI Handbook of Statistics on Indian States 2024-25, Table 19",official
CG,2020-21,106117,"RBI Handbook of Statistics on Indian States 2024-25, Table 19",official
CG,2021-22,123493,"RBI Handbook of Statistics on Indian States 2024-25, Table 19",official
CG,2022-23,134996,"RBI Handbook of Statistics on Indian States 2024-25, Table 19",official
CG,2023-24,148922,"RBI Handbook of Statistics on Indian States 2024-25, Table 19",official
CG,2024-25,162870,"RBI Handbook of Statistics on Indian States 2024-25, Table 19",official
CH,2011-12,158967,"RBI Handbook of Statistics on Indian States 2024-25, Table 19",official
CH,2012-13,180457,"RBI Handbook of Statistics on Indian States 2024-25, Table 19",official
CH,2013-14,203356,"RBI Handbook of Statistics on Indian States 2024-25, Table 19",official
CH,2014-15,212594,"RBI Handbook of Statistics on Indian States 2024-25, Table 19",official
CH,2015-16,230009,"RBI Handbook of Statistics on Indian States 2024-25, Table 19",official
CH,2016-17,252236,"RBI Handbook of Statistics on Indian States 2024-25, Table 19",official
CH,2017-18,280512,"RBI Handbook of Statistics on Indian States 2024-25, Table 19",official
CH,2018-19,307812,"RBI Handbook of Statistics on Indian States 2024-25, Table 19",official
CH,2019-20,330703,"RBI Handbook of Statistics on Indian States 2024-25, Table 19",official
CH,2020-21,290417,"RBI Handbook of Statistics on Indian States 2024-25, Table 19",official
CH,2021-22,337406,"RBI Handbook of Statistics on Indian States 2024-25, Table 19",official
CH,2022-23,408512,"RBI Handbook of Statistics on Indian States 2024-25, Table 19",official
CH,2023-24,453457,"RBI Handbook of Statistics on Indian States 2024-25, Table 19",official
DL,2011-12,185001,"RBI Handbook of Statistics on Indian States 2024-25, Table 19",official
DL,2012-13,205568,"RBI Handbook of Statistics on Indian States 2024-25, Table 19",official
DL,2013-14,227900,"RBI Handbook of Statistics on Indian States 2024-25, Table 19",official
DL,2014-15,247209,"RBI Handbook of Statistics on Indian States 2024-25, Table 19",official
DL,2015-16,270261,"RBI Handbook of Statistics on Indian States 2024-25, Table 19",official
DL,2016-17,295558,"RBI Handbook of Statistics on Indian States 2024-25, Table 19",official
DL,2017-18,318323,"RBI Handbook of Statistics on Indian States 2024-25, Table 19",official
DL,2018-19,338730,"RBI Handbook of Statistics on Indian States 2024-25, Table 19",official
DL,2019-20,355798,"RBI Handbook of Statistics on Indian States 2024-25, Table 19",official
DL,2020-21,322311,"RBI Handbook of Statistics on Indian States 2024-25, Table 19",official
DL,2021-22,370824,"RBI Handbook of Statistics on Indian States 2024-25, Table 19",official
DL,2022-23,417217,"RBI Handbook of Statistics on Indian States 2024-25, Table 19",official
DL,2023-24,459408,"RBI Handbook of Statistics on Indian States 2024-25, Table 19",official
DL,2024-25,493024,"RBI Handbook of Statistics on Indian States 2024-25, Table 19",official
GA,2011-12,259444,"RBI Handbook of Statistics on Indian States 2024-25, Table 19",official
GA,2012-13,234354,"RBI Handbook of Statistics on Indian States 2024-25, Table 19",official
GA,2013-14,215776,"RBI Handbook of Statistics on Indian States 2024-25, Table 19",official
GA,2014-15,289185,"RBI Handbook of Statistics on Indian States 2024-25, Table 19",official
GA,2015-16,334576,"RBI Handbook of Statistics on Indian States 2024-25, Table 19",official
GA,2016-17,378953,"RBI Handbook of Statistics on Indian States 2024-25, Table 19",official
GA,2017-18,411740,"RBI Handbook of Statistics on Indian States 2024-25, Table 19",official
GA,2018-19,423716,"RBI Handbook of Statistics on Indian States 2024-25, Table 19",official
GA,2019-20,435949,"RBI Handbook of Statistics on Indian States 2024-25, Table 19",official
GA,2020-21,423047,"RBI Handbook of Statistics on Indian States 2024-25, Table 19",official
GA,2021-22,459094,"RBI Handbook of Statistics on Indian States 2024-25, Table 19",official
GA,2022-23,532854,"RBI Handbook of Statistics on Indian States 2024-25, Table 19",official
GA,2023-24,585953,"RBI Handbook of Statistics on Indian States 2024-25, Table 19",official
GJ,2011-12,87481,"RBI Handbook of Statistics on Indian States 2024-25, Table 19",official
GJ,2012-13,102826,"RBI Handbook of Statistics on Indian States 2024-25, Table 19",official
GJ,2013-14,113139,"RBI Handbook of Statistics on Indian States 2024-25, Table 19",official
GJ,2014-15,127017,"RBI Handbook of Statistics on Indian States 2024-25, Table 19",official
GJ,2015-16,139254,"RBI Handbook of Statistics on Indian States 2024-25, Table 19",official
GJ,2016-17,156295,"RBI Handbook of Statistics on Indian States 2024-25, Table 19",official
GJ,2017-18,176961,"RBI Handbook of Statistics on Indian States 2024-25, Table 19",official
GJ,2018-19,197457,"RBI Handbook of Statistics on Indian States 2024-25, Table 19",official
GJ,2019-20,212428,"RBI Handbook of Statistics on Indian States 2024-25, Table 19",official
GJ,2020-21,207324,"RBI Handbook of Statistics on Indian States 2024-25, Table 19",official
GJ,2021-22,241584,"RBI Handbook of Statistics on Indian States 2024-25, Table 19",official
GJ,2022-23,272451,"RBI Handbook of Statistics on Indian States 2024-25, Table 19",official
HP,2011-12,87721,"RBI Handbook of Statistics on Indian States 2024-25, Table 19",official
HP,2012-13,99730,"RBI Handbook of Statistics on Indian States 2024-25, Table 19",official
HP,2013-14,114095,"RBI Handbook of Statistics on Indian States 2024-25, Table 19",official
HP,2014-15,123299,"RBI Handbook of Statistics on Indian States 2024-25, Table 19",official
HP,2015-16,135512,"RBI Handbook of Statistics on Indian States 2024-25, Table 19",official
HP,2016-17,150290,"RBI Handbook of Statistics on Indian States 2024-25, Table 19",official
HP,2017-18,165497,"RBI Handbook of Statistics on Indian States 2024-25, Table 19",official
HP,2018-19,174804,"RBI Handbook of Statistics on Indian States 2024-25, Table 19",official
HP,2019-20,186559,"RBI Handbook of Statistics on Indian States 2024-25, Table 19",official
HP,2020-21,173565,"RBI Handbook of Statistics on Indian States 2024-25, Table 19",official
HP,2021-22,193016,"RBI Handbook of Statistics on Indian States 2024-25, Table 19",official
HP,2022-23,214952,"RBI Handbook of Statistics on Indian States 2024-25, Table 19",official
HP,2023-24,234721,"RBI Handbook of Statistics on Indian States 2024-25, Table 19",official
HP,2024-25,256137,"RBI Handbook of Statistics on Indian States 2024-25, Table 19",official
HR,2011-12,106085,"RBI Handbook of Statistics on Indian States 2024-25, Table 19",official
HR,2012-13,121269,"RBI Handbook of Statistics on Indian States 2024-25, Table 19",official
HR,2013-14,137770,"RBI Handbook of Statistics on Indian States 2024-25, Table 19",official
HR,2014-15,147382,"RBI Handbook of Statistics on Indian States 2024-25, Table 19",official
HR,2015-16,164963,"RBI Handbook of Statistics on Indian States 2024-25, Table 19",official
